name	dunfell	gatesgarth	hardknott	honister	
asio	1.12.2	1.18.0	1.18.1	1.18.1	
boost	1.72.0	1.74.0	1.75.0	1.77.0	
cmake	3.16.5	3.18.2	3.19.5	3.21.1	
cppcheck	1.87	1.87	1.87	1.87	
curl	7.69.1	7.72.0	7.75.0	7.78.0	
elfutils	0.178	0.180	0.183	0.185	
ffmpeg	(4.2.2)	(4.3.1)	(4.3.2)	(4.4)	
freeglut					
freetype	2.10.1	2.10.2	2.10.4	2.11.0	
gcc	9.3.0	10.2.0	10.2.0	11.2.0	
git	2.24.3	2.28.0	2.31.1	2.33.0	
gnupg	2.2.20	2.2.23	2.2.27	2.3.1	
gpgme	1.13.1	1.14.0	1.15.1	1.16.0	
joystick	1.6.1	1.6.1	1.7.0	1.7.0	
libeigen	3.3.7	3.3.7	3.3.7	3.3.9	
libjpeg-turbo	2.0.4	2.0.5	2.0.6	2.1.1	
libogg	1.3.4	1.3.4	1.3.4	1.3.5	
libpcre	8.44	8.44	8.44	8.45	
libtinyxml2	8.0.0	8.0.0	8.0.0	9.0.0	
libusb1	1.0.22	1.0.23	1.0.24	1.0.24	
libx11	1.6.9()	1.6.12()	1.7.0()	1.7.2()	
libxml2	2.9.10	2.9.10	2.9.10	2.9.12	
linux-raspberrypi					
linux-yocto	5.4.141+gitAUTOINC+71f799f448_13fa9f6648	5.8.18+gitAUTOINC+b976de4f41_3c5d210805	5.10.57+gitAUTOINC+2225769091_b1ff0bb0de	5.13.9+gitAUTOINC+2b89265a0b_609a8a548c	
lz4	1.9.2	1.9.2	1.9.3	1.9.3	
mesa	(20.0.2)	(20.1.8)	(21.0.3)	(21.2.1)	
opencv	4.1.0	4.4.0	4.5.2	4.5.2	
openssl	1.1.1k	1.1.1k	1.1.1k	1.1.1l	
pkgconfig	0.29.2+gitAUTOINC+edf8e6f0ea	0.29.2+gitAUTOINC+edf8e6f0ea	0.29.2+gitAUTOINC+edf8e6f0ea	0.29.2+gitAUTOINC+edf8e6f0ea	
poco	1.9.4	1.10.1	1.10.1	1.10.1	
python-future					
python-lxml					
python-numpy					
python-sip					
python3	3.8.11	3.8.5	3.9.5	3.9.6	
python-lxml					
python3-numpy	1.17.4	1.19.1	1.20.1	1.21.2	
python3-psutil	5.7.0	5.7.3	5.8.0	5.8.0	
python3-pydot	1.4.1	1.4.1	1.4.1	1.4.1	
python3-pygraphviz	1.5	1.5	1.5	1.5	
python3-pyqt5					
python3-pytest	5.3.5	6.1.0	6.2.2	6.2.4	
python3-pyyaml	5.3.1	5.3.1	5.4.1	5.4.1	
python3-setuptools	45.2.0	49.6.0	54.1.1	57.4.0	
qtbase	(6.2.0)	(6.2.0)	(6.2.0)	(6.2.0)	
sqlite3	3.31.1	3.33.0	3.35.0	3.36.0	
systemd	244.5	246.9	247.6	249.3	
udev	244.5	246.9	247.6	249.3	
yaml-cpp	0.6.2	0.6.2	0.6.2	0.6.2	
